word,format
h ,['h']
ha ,['ha']
haaf ,['haaf']
haak ,['haak']
haar ,['haar']
habeas corpus ,"['habea', 'corpu']"
habendum ,['habendum']
haberdash ,['haberdash']
haberdasher ,['haberdash']
haberdashery ,['haberdasheri']
haberdine ,['haberdin']
habergeon ,['habergeon']
habilatory ,['habilatori']
habile ,['habil']
habiliment ,['habili']
habilimented ,['habili']
habilitate ,['habilit']
habilitation ,['habilit']
hability ,['habil']
habit ,['habit']
habited ,['habit']
habiting ,['habit']
habitability ,['habit']
habitable ,['habit']
habitakle ,['habitakl']
habitan ,['habitan']
habitance ,['habit']
habiitancy ,['habiit']
habitant ,['habit']
habitat ,['habitat']
habitation ,['habit']
habitator ,['habit']
habitual ,['habitu']
habituated ,['habitu']
habituating ,['habitu']
habituate ,['habitu']
habituation ,['habitu']
habitude ,['habitud']
habitue ,['habitu']
habiture ,['habitur']
habitus ,['habitu']
hable ,['habl']
habnab ,['habnab']
hachure ,['hachur']
hacienda ,['hacienda']
hack ,['hack']
hacked ,['hack']
hacking ,['hack']
hackamore ,['hackamor']
hackberry ,['hackberri']
hackbolt ,['hackbolt']
hackbuss ,['hackbuss']
hackee ,['hacke']
hacker ,['hacker']
hackery ,['hackeri']
hackle ,['hackl']
hackled ,['hackl']
hackling ,['hackl']
hackly ,['hackli']
hackmen ,['hackmen']
hackman ,['hackman']
hackmatack ,['hackmatack']
hackneys ,['hackney']
hackney ,['hackney']
hackneyed ,['hackney']
hackneying ,['hackney']
hackneymen ,['hackneymen']
hackneyman ,['hackneyman']
hackster ,['hackster']
hacqueton ,['hacqueton']
had ,[]
hadder ,['hadder']
haddie ,['haddi']
haddock ,['haddock']
hade ,['hade']
hades ,['hade']
hadj ,['hadj']
hadji ,['hadji']
hadrosaurus ,['hadrosauru']
haecceity ,['haecceiti']
haema- ,['haema']
haemato- ,['haemato']
haemo- ,['haemo']
haemachrome ,['haemachrom']
haemacyanin ,['haemacyanin']
haemacytometer ,['haemacytomet']
haemad ,['haemad']
haemadrometer ,['haemadromet']
haemadremometer ,['haemadremomet']
haemadrometry ,['haemadrometri']
haemadromometry ,['haemadromometri']
haemadromograph ,['haemadromograph']
haemadynameter ,['haemadynamet']
haemadynamometer ,['haemadynamomet']
haemadynamics ,['haemadynam']
haemal ,['haemal']
haemaphaein ,['haemaphaein']
haemapod ,['haemapod']
haemapodous ,['haemapod']
haemapoietic ,['haemapoiet']
haemapophysis ,['haemapophysi']
haemastatics ,['haemastat']
haematachometer ,['haematachomet']
haematachometry ,['haematachometri']
haematemesis ,['haematemesi']
haematic ,['haemat']
haematin ,['haematin']
haematinometer ,['haematinomet']
haematinometric ,['haematinometr']
haematite ,['haematit']
haematitic ,['haematit']
haematoblast ,['haematoblast']
haematocrya ,['haematocrya']
haematocryal ,['haematocry']
haematocrystallin ,['haematocrystallin']
haematodynamometer ,['haematodynamomet']
haematogenesis ,['haematogenesi']
haematogenic ,['haematogen']
haematogenous ,['haematogen']
haematoglobulin ,['haematoglobulin']
haematoid ,['haematoid']
haematoidin ,['haematoidin']
haematoin ,['haematoin']
haematolin ,['haematolin']
haematology ,['haematolog']
haematometer ,['haematomet']
haematophlina ,['haematophlina']
haematoplast ,['haematoplast']
haematoplastic ,['haematoplast']
haematoporphyrin ,['haematoporphyrin']
haematosac ,['haematosac']
haematoscope ,['haematoscop']
haematosin ,['haematosin']
haematosis ,['haematosi']
haematotherma ,['haematotherma']
