word,format
o ,[]
o''s ,[]
oes ,['oe']
o'' ,[]
oad ,['oad']
oaf ,['oaf']
oafish ,['oafish']
oak ,['oak']
oaken ,['oaken']
oaker ,['oaker']
oakling ,['oakl']
oakum ,['oakum']
oaky ,['oaki']
oar ,['oar']
oared ,['oar']
oaring ,['oar']
oarfish ,['oarfish']
oarfoot ,['oarfoot']
oar-footed ,"['oar', 'foot']"
oarless ,['oarless']
oarlock ,['oarlock']
oarsmen ,['oarsmen']
oarsman ,['oarsman']
oarsweed ,['oarswe']
oary ,['oari']
oases ,['oas']
oasis ,['oasi']
oast ,['oast']
oats ,['oat']
oat ,['oat']
oatcake ,['oatcak']
oaten ,['oaten']
oaths ,['oath']
oath ,['oath']
oathable ,['oathabl']
oathbreaking ,['oathbreak']
oatmeal ,['oatmeal']
ob- ,['ob']
obcompressed ,['obcompress']
obconic ,['obcon']
obconical ,['obcon']
obcordate ,['obcord']
obdiplostemonous ,['obdiplostemon']
obdiplostemony ,['obdiplostemoni']
obdormition ,['obdormit']
obduce ,['obduc']
obduct ,['obduct']
obduction ,['obduct']
obduracy ,['obduraci']
obdurate ,['obdur']
obduration ,['obdur']
obdure ,['obdur']
obdured ,['obdur']
obdureness ,['obdur']
obduredness ,['obdured']
obbe ,['obb']
obeah ,['obeah']
obedible ,['obed']
obedience ,['obedi']
obedienciary ,['obedienciari']
obedient ,['obedi']
obediential ,['obedienti']
obediently ,['obedi']
obeisance ,['obeis']
obeisancy ,['obeis']
obeisant ,['obeis']
obelion ,['obelion']
obeliscal ,['obelisc']
obelisk ,['obelisk']
obelisked ,['obelisk']
obelisking ,['obelisk']
obelized ,['obel']
obelizing ,['obel']
obelize ,['obel']
obeli ,['obe']
obelus ,['obelu']
obequitate ,['obequit']
oberon ,['oberon']
oberration ,['oberr']
obese ,['obes']
obeseness ,['obes']
obesity ,['obes']
obeyed ,['obey']
obeying ,['obey']
obey ,['obey']
obeyer ,['obey']
obeyingly ,['obeyingli']
obfirm ,['obfirm']
obfirmate ,['obfirm']
obfirmation ,['obfirm']
obfuscate ,['obfusc']
obfuscated ,['obfusc']
obfuscating ,['obfusc']
obfuscation ,['obfusc']
obi ,['obi']
obimbricate ,['obimbr']
obit ,['obit']
obiter ,['obit']
obitual ,['obitu']
obituarily ,['obituarili']
obiyuary ,['obiyuari']
obituaries ,['obituari']
obituary ,['obituari']
objected ,['object']
objecting ,['object']
object ,['object']
objectable ,['object']
objectify ,['objectifi']
objection ,['object']
objectionable ,['objection']
objectist ,['objectist']
objectivate ,['objectiv']
objectivation ,['objectiv']
objective ,['object']
objectively ,['object']
objectiveness ,['object']
objectivity ,['object']
obectize ,['obect']
objectless ,['objectless']
objector ,['objector']
objibways ,['objibway']
objicient ,['objici']
objuration ,['objur']
objurgated ,['objurg']
objurgating ,['objurg']
objurgate ,['objurg']
objurgation ,['objurg']
objurgatory ,['objurgatori']
oblanceolate ,['oblanceol']
oblate ,['oblat']
oblateness ,['oblat']
oblati ,['oblati']
oblation ,['oblat']
oblationer ,['oblation']
oblatrate ,['oblatr']
oblatration ,['oblatr']
oblata ,['oblata']
oblatum ,['oblatum']
oblectate ,['oblect']
oblectation ,['oblect']
obligable ,['oblig']
obligated ,['oblig']
obligating ,['oblig']
